ticker,TUH13 Comdty,TUH05 Comdty,TUH11 Comdty,TUH09 Comdty,TUH07 Comdty,TUH03 Comdty,TUM13 Comdty,TUM05 Comdty,TUM11 Comdty,TUM03 Comdty,TUM09 Comdty,TUM07 Comdty,TUU05 Comdty,TUU13 Comdty,TUU07 Comdty,TUU11 Comdty,TUU09 Comdty,TUZ05 Comdty,TUZ13 Comdty,TUZ07 Comdty,TUU03 Comdty,TUZ11 Comdty,TUZ09 Comdty,TUH06 Comdty,TUZ03 Comdty,TUH14 Comdty,TUH08 Comdty,TUH12 Comdty,TUH10 Comdty,TUM06 Comdty,TUH04 Comdty,TUM14 Comdty,TUM08 Comdty,TUM12 Comdty,TUM10 Comdty,TUU06 Comdty,TUM04 Comdty,TUU14 Comdty,TUU12 Comdty,TUU08 Comdty,TUZ06 Comdty,TUU04 Comdty,TUU10 Comdty,TUZ14 Comdty,TUZ08 Comdty,TUZ12 Comdty,TUH15 Comdty,TUZ04 Comdty,TUZ10 Comdty,TUH17 Comdty,TUH19 Comdty,TUH1 Comdty,FVU04 Comdty,TUM15 Comdty,FVU06 Comdty,TUM17 Comdty,FVZ04 Comdty,TUM19 Comdty,TUU15 Comdty,TUM1 Comdty,TUU17 Comdty,FVZ06 Comdty,FVH05 Comdty,TUZ15 Comdty,TUU19 Comdty,TUZ17 Comdty,FVH03 Comdty,FVH07 Comdty,TUH16 Comdty,TUZ19 Comdty,TUH18 Comdty,FVM05 Comdty,FVM03 Comdty,TUM18 Comdty,TUM16 Comdty,TUH0 Comdty,FVM07 Comdty,FVU03 Comdty,FVU05 Comdty,TUU16 Comdty,FVU07 Comdty,TUM0 Comdty,TUU18 Comdty,FVZ03 Comdty,FVZ05 Comdty,TUZ16 Comdty,TUU0 Comdty,FVZ07 Comdty,TUZ18 Comdty,FVH04 Comdty,FVH06 Comdty,FVU08 Comdty,FVU10 Comdty,FVH08 Comdty,FVM04 Comdty,FVM06 Comdty,TUZ0 Comdty,FVZ08 Comdty,FVZ10 Comdty,FVU12 Comdty,FVM08 Comdty,FVU14 Comdty,FVU16 Comdty,FVH09 Comdty,FVH11 Comdty,FVU18 Comdty,FVZ14 Comdty,FVZ12 Comdty,FVM09 Comdty,FVZ16 Comdty,FVZ18 Comdty,FVM11 Comdty,FVH13 Comdty,FVH15 Comdty,FVH17 Comdty,FVU09 Comdty,FVH19 Comdty,FVU11 Comdty,FVM13 Comdty,FVM15 Comdty,FVM17 Comdty,FVZ09 Comdty,FVM19 Comdty,FVZ11 Comdty,FVU13 Comdty,FVU15 Comdty,FVU17 Comdty,FVU19 Comdty,FVH10 Comdty,FVZ13 Comdty,FVH12 Comdty,FVZ15 Comdty,FVZ19 Comdty,FVZ17 Comdty,FVH14 Comdty,FVM10 Comdty,FVM12 Comdty,FVH16 Comdty,FVH18 Comdty,FVH0 Comdty,FVU0 Comdty,FVM14 Comdty,TYH04 Comdty,FVM16 Comdty,FVM18 Comdty,FVM0 Comdty,FVZ0 Comdty,TYH06 Comdty,TYM04 Comdty,TYH08 Comdty,TYH10 Comdty,FVH1 Comdty,TYH12 Comdty,TYU04 Comdty,TYM06 Comdty,FVM1 Comdty,TYM12 Comdty,TYM08 Comdty,TYM10 Comdty,TYZ04 Comdty,TYU06 Comdty,TYH03 Comdty,TYU08 Comdty,TYU12 Comdty,TYH05 Comdty,TYZ06 Comdty,TYU10 Comdty,TYM03 Comdty,TYZ08 Comdty,TYM05 Comdty,TYH07 Comdty,TYZ10 Comdty,TYH09 Comdty,TYU03 Comdty,TYU05 Comdty,TYM07 Comdty,TYH11 Comdty,TYZ12 Comdty,TYM09 Comdty,TYZ05 Comdty,TYZ03 Comdty,TYU07 Comdty,TYH13 Comdty,TYU09 Comdty,TYM11 Comdty,TYH16 Comdty,TYZ07 Comdty,TYH14 Comdty,TYM13 Comdty,TYZ09 Comdty,TYM16 Comdty,TYH18 Comdty,TYU11 Comdty,TYM14 Comdty,TYU13 Comdty,TYU16 Comdty,TYH0 Comdty,TYZ11 Comdty,TYM18 Comdty,TYU14 Comdty,TYZ16 Comdty,TYZ13 Comdty,USU03 Comdty,TYM0 Comdty,TYU18 Comdty,TYZ14 Comdty,TYH17 Comdty,USZ03 Comdty,USU05 Comdty,TYU0 Comdty,TYZ18 Comdty,TYM17 Comdty,TYH15 Comdty,USH04 Comdty,TYZ0 Comdty,TYH19 Comdty,USZ05 Comdty,TYU17 Comdty,TYM15 Comdty,TYH1 Comdty,TYM19 Comdty,USH06 Comdty,TYZ17 Comdty,TYM1 Comdty,TYU15 Comdty,TYU19 Comdty,USM04 Comdty,USU07 Comdty,USM06 Comdty,USH03 Comdty,TYZ15 Comdty,TYZ19 Comdty,USM03 Comdty,USU04 Comdty,USZ07 Comdty,USU06 Comdty,USU09 Comdty,USU11 Comdty,USU13 Comdty,USH08 Comdty,USZ04 Comdty,USZ06 Comdty,USZ09 Comdty,USZ11 Comdty,USZ13 Comdty,USM08 Comdty,USH07 Comdty,USH05 Comdty,USH12 Comdty,USH10 Comdty,USH14 Comdty,USU08 Comdty,USM07 Comdty,USM05 Comdty,USM14 Comdty,USM10 Comdty,USM12 Comdty,USZ08 Comdty,USU15 Comdty,USU17 Comdty,USU12 Comdty,USH09 Comdty,USU14 Comdty,USZ15 Comdty,USZ17 Comdty,USM09 Comdty,USZ12 Comdty,USZ14 Comdty,USH18 Comdty,USH16 Comdty,USU19 Comdty,USH15 Comdty,USM18 Comdty,USM16 Comdty,USZ19 Comdty,USM15 Comdty,USU10 Comdty,USH13 Comdty,USU16 Comdty,USU18 Comdty,USH0 Comdty,USZ10 Comdty,USM13 Comdty,USZ16 Comdty,USZ18 Comdty,USM0 Comdty,USH11 Comdty,USH17 Comdty,USH19 Comdty,USM11 Comdty,USU0 Comdty,USM19 Comdty,USM17 Comdty,USZ0 Comdty,USH1 Comdty,USM1 Comdty
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02,,,,,,107.2109375,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.15625,,,,,,111.484375,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,113.40625,,,,,,112.0,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,107.59375,,,,,106.46875,,,,,,107.25,,,,,,,,,,,,,,,,110.15625,,,108.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-03,,,,,,107.2265625,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.15625,,,,,,111.46875,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,113.4375,,,,,,112.03125,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,107.71875,,,,,106.59375,,,,,,107.25,,,,,,,,,,,,,,,,110.28125,,,108.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-06,,,,,,107.171875,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9375,,,,,,111.1875,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,113.234375,,,,,,111.828125,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,107.46875,,,,,106.34375,,,,,,107.25,,,,,,,,,,,,,,,,110.03125,,,108.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-07,,,,,,107.2890625,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1875,,,,,,111.4375,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,113.53125,,,,,,112.125,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,107.78125,,,,,106.65625,,,,,,107.25,,,,,,,,,,,,,,,,110.34375,,,109.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-08,,,,,,107.421875,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.359375,,,,,,111.609375,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,113.828125,,,,,,112.40625,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,108.40625,,,,,107.25,,,,,,107.25,,,,,,,,,,,,,,,,111.03125,,,109.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-09,,,,,,107.1328125,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.515625,,,,,,110.75,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,112.59375,,,,,,111.15625,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,106.40625,,,,,105.25,,,,,,107.25,,,,,,,,,,,,,,,,109.03125,,,107.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-10,,,,,,107.2265625,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.59375,,,,,,110.8125,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,112.5625,,,,,,111.109375,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,106.40625,,,,,105.25,,,,,,107.25,,,,,,,,,,,,,,,,109.03125,,,107.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-13,,,,,,107.2265625,,,,,,,,,,,,,,,99.6484375,,,,99.6484375,,,,,,99.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.765625,,,,,,110.953125,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,112.84375,,,,,,111.375,,,,,,100.46875,,,,,,,100.46875,,,,,,,,,,,,,,,,,,,,,,106.84375,,,,,105.6875,,,,,,107.25,,,,,,,,,,,,,,,,109.46875,,,108.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
